videoid,num_objects,path,trajectory_maps_path,text,flow,fid_value_mask_fid,mask_objectmc_mask_objmc,box_objectmc_mask_objmc,fid_value_box_fid,mask_objectmc_box_objmc,box_objectmc_box_objmc,score
17833704,1,/datadrive2/lqh/testset_data/resized_videos/17833704.mp4,/datadrive2/lqh/testset_data/filtered_masks/17833704, aerial view of dunes lighted by the sunset in a desert located near the sea gran canaria,24.71428298950196,21.49410540586245,0.998278375400427,0.9980523466783898,24.46127190113169,0.9978443043112534,0.9988322287883966,7.0
11295197,1,/datadrive2/lqh/testset_data/resized_videos/11295197.mp4,/datadrive2/lqh/testset_data/filtered_masks/11295197,"A partly frozen lake reflects the hillside and sky, surrounded by golden marshland, with houses dotted in the background.",21.33395767211914,24.547755813048205,0.9955076658460345,0.996675586249136,25.91465856835641,0.9958744855677272,0.9964539086774356,30.0
5289475,1,/datadrive2/lqh/testset_data/resized_videos/5289475.mp4,/datadrive2/lqh/testset_data/filtered_masks/5289475, beautiful scenery of the ocean,89.8732681274414,24.969915086774627,0.9975540434507868,0.9978144802374512,26.57843861408298,0.9956510373195332,0.995495609766354,31.0
17284758,1,/datadrive2/lqh/testset_data/resized_videos/17284758.mp4,/datadrive2/lqh/testset_data/filtered_masks/17284758, sea city landscape water,21.6822452545166,33.732076161033845,0.994627875175649,0.9964073538250584,33.199111396878166,0.9968987654061628,0.9971971621266532,44.0
17722498,1,/datadrive2/lqh/testset_data/resized_videos/17722498.mp4,/datadrive2/lqh/testset_data/filtered_masks/17722498,"A serene lake with ripples, surrounded by a forest under a clear blue sky.",27.55448341369629,46.233493341472894,0.9953909662812984,0.997765529569492,46.50230019311059,0.996265823933894,0.9967225038728093,57.0
10397586,1,/datadrive2/lqh/testset_data/resized_videos/10397586.mp4,/datadrive2/lqh/testset_data/filtered_masks/10397586, storm clouds over sea coast,46.033912658691406,35.44891986909626,0.994678261705068,0.9958013222114488,31.27961294829356,0.9937686930471542,0.9955143851019104,57.0
4502519,1,/datadrive2/lqh/testset_data/resized_videos/4502519.mp4,/datadrive2/lqh/testset_data/filtered_masks/4502519, cyclone in the middle of the ocean,45.27266693115234,30.9735281002016,0.992496482297148,0.9960051188562484,31.06646871505294,0.988748280003893,0.9954821432950426,59.0
10397583,1,/datadrive2/lqh/testset_data/resized_videos/10397583.mp4,/datadrive2/lqh/testset_data/filtered_masks/10397583, aerial view of seaside scenery at sunrise,51.060089111328125,47.65127834753543,0.9945355242416496,0.993559399070674,31.579582475613304,0.9949248886108678,0.997440585299717,60.0
12901553,1,/datadrive2/lqh/testset_data/resized_videos/12901553.mp4,/datadrive2/lqh/testset_data/filtered_masks/12901553, drone shot of a desert at dawn,55.28621292114258,46.313596989824106,0.9896784530663164,0.9968278807124024,35.80830975575809,0.995979210645002,0.9966565625066716,61.0
12444626,1,/datadrive2/lqh/testset_data/resized_videos/12444626.mp4,/datadrive2/lqh/testset_data/filtered_masks/12444626,A wooden boardwalk stretches through a field of tall grass towards a dense forest under a clear blue sky.,25.87575912475586,43.36537826769016,0.982449923512661,0.9971587175015992,38.18811341450346,0.9210851239425136,0.9971696707880232,82.0
3829707,1,/datadrive2/lqh/testset_data/resized_videos/3829707.mp4,/datadrive2/lqh/testset_data/filtered_masks/3829707,"A serene lake surrounded by lush greenery and a historic building in the background, under a cloudy sky.",25.72672462463379,47.99505984024948,0.991643003099983,0.988601011507302,31.034460388353068,0.9903369156684712,0.9959312988224897,86.0
4117439,1,/datadrive2/lqh/testset_data/resized_videos/4117439.mp4,/datadrive2/lqh/testset_data/filtered_masks/4117439, windy day at the wheat field,20.97282218933105,49.11155412624774,0.9857862875567642,0.9943372244400014,43.82283562078103,0.9873270433927664,0.9963111731225098,92.0
4180659,1,/datadrive2/lqh/testset_data/resized_videos/4180659.mp4,/datadrive2/lqh/testset_data/filtered_masks/4180659, pan shot of the lake during sunset,22.193397521972656,43.530828795829805,0.9844163065395666,0.9929094864976163,44.389488016025645,0.976567567827134,0.9967910332807828,92.0
6577822,1,/datadrive2/lqh/testset_data/resized_videos/6577822.mp4,/datadrive2/lqh/testset_data/filtered_masks/6577822, drone footage of beach,22.933238983154297,30.494982241975052,0.9874887384212028,0.9823276543765714,27.93941428203504,0.9639760628866793,0.9764019394310754,113.0
2355571,1,/datadrive2/lqh/testset_data/resized_videos/2355571.mp4,/datadrive2/lqh/testset_data/filtered_masks/2355571, a grass field over looking the sea,50.72342300415039,67.81489362322215,0.9864077574851142,0.9894392275590912,68.98618718639248,0.9899867105369712,0.9930987341922688,130.0
6631722,1,/datadrive2/lqh/testset_data/resized_videos/6631722.mp4,/datadrive2/lqh/testset_data/filtered_masks/6631722,"A person in a white coat stands near a staircase, hinting at movement either towards the clinical rooms ahead or returning from them.",19.591781616210938,64.25006098680846,0.98573024323655,0.9920497504216608,96.96506809906722,0.8569653855188946,0.9788017155076902,167.0
1094478,1,/datadrive2/lqh/testset_data/resized_videos/1094478.mp4,/datadrive2/lqh/testset_data/filtered_masks/1094478, man in red shirt passing by a art shop,26.06314277648925,73.00986046881816,0.9814239611743414,0.9907296548265578,55.36766741189311,0.817484376347702,0.974326983301402,171.0
4464038,1,/datadrive2/lqh/testset_data/resized_videos/4464038.mp4,/datadrive2/lqh/testset_data/filtered_masks/4464038, clouds in the sky,28.044919967651367,88.77209988119553,0.9863650297006468,0.9890489907812025,80.68308745966658,0.817108655110627,0.992130759606478,180.0
6396993,1,/datadrive2/lqh/testset_data/resized_videos/6396993.mp4,/datadrive2/lqh/testset_data/filtered_masks/6396993, waves crashing on a shore,61.37971496582031,101.737738319445,0.9844854497724675,0.9841142981183132,64.28757500910706,0.9581484954975082,0.977370569792727,200.0
4215907,1,/datadrive2/lqh/testset_data/resized_videos/4215907.mp4,/datadrive2/lqh/testset_data/filtered_masks/4215907, person rubbing hands together,30.44512367248535,96.99904222093916,0.9821265120543794,0.9946283064463042,104.80083444343794,0.7910385443999792,0.9899732002127738,211.0
6602509,1,/datadrive2/lqh/testset_data/resized_videos/6602509.mp4,/datadrive2/lqh/testset_data/filtered_masks/6602509, drone footage of a moving train crossing a farmland,35.673179626464844,48.94670526876037,0.9473777042900734,0.9811647773698648,45.1965153985532,0.8611726568237373,0.990123763373787,213.0
4196252,1,/datadrive2/lqh/testset_data/resized_videos/4196252.mp4,/datadrive2/lqh/testset_data/filtered_masks/4196252, skipping stones on the deep water of a river,42.09881210327149,143.50075051737815,0.9939114915196524,0.9973300388525664,139.95627902064604,0.9431055872930932,0.997438894118398,218.0
7055400,1,/datadrive2/lqh/testset_data/resized_videos/7055400.mp4,/datadrive2/lqh/testset_data/filtered_masks/7055400, woman typing on laptop,35.34918975830078,27.587361275497987,0.9261938386553604,0.9833143081157312,32.58675781786546,0.7164256023455372,0.944313657307787,240.0
3873088,1,/datadrive2/lqh/testset_data/resized_videos/3873088.mp4,/datadrive2/lqh/testset_data/filtered_masks/3873088,"A woman in a white tank top and red belt twirls energetically, her hair flying in motion against a marbled background.",21.43153190612793,69.50637213561477,0.978120735307027,0.967244003037612,80.09911834012863,0.7723963257776713,0.9513413122986778,258.0
4823673,1,/datadrive2/lqh/testset_data/resized_videos/4823673.mp4,/datadrive2/lqh/testset_data/filtered_masks/4823673, a man cleaning a car,28.24514961242676,111.62015140234016,0.9685512090484264,0.9904157790210096,99.50027014221436,0.8352832990846007,0.9707622980173292,261.0
17143337,1,/datadrive2/lqh/testset_data/resized_videos/17143337.mp4,/datadrive2/lqh/testset_data/filtered_masks/17143337, fashion man sunglasses people,42.37141418457031,67.05172728521023,0.9789793742828484,0.9905319076224562,103.51277354511387,0.7053844085984883,0.9094443469917542,264.0
