videoid,num_objects,path,trajectory_maps_path,text,flow
3970141,1,/datadrive2/lqh/testset_data/resized_videos/3970141.mp4,/datadrive2/lqh/testset_data/filtered_masks/3970141, person putting ice in a drinking glass,76.70716094970703
10039840,1,/datadrive2/lqh/testset_data/resized_videos/10039840.mp4,/datadrive2/lqh/testset_data/filtered_masks/10039840, a person sharpening his knife,74.40476989746094
6774634,1,/datadrive2/lqh/testset_data/resized_videos/6774634.mp4,/datadrive2/lqh/testset_data/filtered_masks/6774634, a man smiling while talking in a business meeting,68.66279602050781
5286378,1,/datadrive2/lqh/testset_data/resized_videos/5286378.mp4,/datadrive2/lqh/testset_data/filtered_masks/5286378,"A determined crowd raises signs and fists, uniting in a protest against racism, demanding justice and peace.",61.79668045043945
15304424,1,/datadrive2/lqh/testset_data/resized_videos/15304424.mp4,/datadrive2/lqh/testset_data/filtered_masks/15304424, drone footage of breaking waves and a sandy beach,58.13336563110352
6688354,1,/datadrive2/lqh/testset_data/resized_videos/6688354.mp4,/datadrive2/lqh/testset_data/filtered_masks/6688354, male model in artistic makeup posing with chess piece,57.53691482543945
5359139,1,/datadrive2/lqh/testset_data/resized_videos/5359139.mp4,/datadrive2/lqh/testset_data/filtered_masks/5359139, woman doing modern dance,55.79481887817383
5607992,1,/datadrive2/lqh/testset_data/resized_videos/5607992.mp4,/datadrive2/lqh/testset_data/filtered_masks/5607992, a pod of dolphins hunting a school of sardines,52.06950378417969
3998443,1,/datadrive2/lqh/testset_data/resized_videos/3998443.mp4,/datadrive2/lqh/testset_data/filtered_masks/3998443,"A barber's hand, grasping a straight razor, carefully trims a man's beard with precision and focus.",51.40895462036133
10740325,1,/datadrive2/lqh/testset_data/resized_videos/10740325.mp4,/datadrive2/lqh/testset_data/filtered_masks/10740325, close up on woman breaking egg,49.44236755371094
5480025,1,/datadrive2/lqh/testset_data/resized_videos/5480025.mp4,/datadrive2/lqh/testset_data/filtered_masks/5480025, orange flower petals in the bowl,49.028541564941406
17892955,1,/datadrive2/lqh/testset_data/resized_videos/17892955.mp4,/datadrive2/lqh/testset_data/filtered_masks/17892955, bosphorus sea boat to karakoy,44.067138671875
1345911,1,/datadrive2/lqh/testset_data/resized_videos/1345911.mp4,/datadrive2/lqh/testset_data/filtered_masks/1345911, close up shot of grass,39.95170593261719
4088836,1,/datadrive2/lqh/testset_data/resized_videos/4088836.mp4,/datadrive2/lqh/testset_data/filtered_masks/4088836, music musician lifestyle sound,39.5662956237793
4334124,1,/datadrive2/lqh/testset_data/resized_videos/4334124.mp4,/datadrive2/lqh/testset_data/filtered_masks/4334124, a man thoroughly washing his hands,38.37645721435547
12759422,1,/datadrive2/lqh/testset_data/resized_videos/12759422.mp4,/datadrive2/lqh/testset_data/filtered_masks/12759422, bird chick grooming itself,37.063114166259766
16817285,1,/datadrive2/lqh/testset_data/resized_videos/16817285.mp4,/datadrive2/lqh/testset_data/filtered_masks/16817285,"A vibrant cultural procession unfolds in a square with historical architecture, against a backdrop of mountains under a blue sky with scattered clouds.",34.74095916748047
6053510,1,/datadrive2/lqh/testset_data/resized_videos/6053510.mp4,/datadrive2/lqh/testset_data/filtered_masks/6053510, woman exercising in a walking machine,34.47467422485352
5451388,1,/datadrive2/lqh/testset_data/resized_videos/5451388.mp4,/datadrive2/lqh/testset_data/filtered_masks/5451388, a person getting water from the water dispenser,34.2061653137207
10106523,1,/datadrive2/lqh/testset_data/resized_videos/10106523.mp4,/datadrive2/lqh/testset_data/filtered_masks/10106523, dolphins doing tricks at a water park,34.056278228759766
3327657,1,/datadrive2/lqh/testset_data/resized_videos/3327657.mp4,/datadrive2/lqh/testset_data/filtered_masks/3327657, a man holds a woman hand while sitting down,32.593467712402344
3192361,1,/datadrive2/lqh/testset_data/resized_videos/3192361.mp4,/datadrive2/lqh/testset_data/filtered_masks/3192361, mother and child having fun in the pool,32.410858154296875
4360171,1,/datadrive2/lqh/testset_data/resized_videos/4360171.mp4,/datadrive2/lqh/testset_data/filtered_masks/4360171,"An array of paintbrushes stands in a glass jar amidst a cluttered desk with a ruler, a lampshade, and art supplies scattered around.",31.3270263671875
5354968,1,/datadrive2/lqh/testset_data/resized_videos/5354968.mp4,/datadrive2/lqh/testset_data/filtered_masks/5354968, woman exiting the the subway station,30.500003814697266
10611146,1,/datadrive2/lqh/testset_data/resized_videos/10611146.mp4,/datadrive2/lqh/testset_data/filtered_masks/10611146, drone footage of a mountain village,30.43802070617676
18686281,1,/datadrive2/lqh/testset_data/resized_videos/18686281.mp4,/datadrive2/lqh/testset_data/filtered_masks/18686281,"Fireworks exploding in the night sky, scattering golden sparks in all directions.",29.45858764648437
4936438,1,/datadrive2/lqh/testset_data/resized_videos/4936438.mp4,/datadrive2/lqh/testset_data/filtered_masks/4936438,"A person in a white shirt and black pants stands in front of a grand building with ornate doors and a classic street lamp, near a statue and greenery.",28.76187515258789
4127749,1,/datadrive2/lqh/testset_data/resized_videos/4127749.mp4,/datadrive2/lqh/testset_data/filtered_masks/4127749,"Layers of pink and blue disposable face masks lay still on a beige surface, their elastic ear loops creating soft curves.",28.498369216918945
4592359,1,/datadrive2/lqh/testset_data/resized_videos/4592359.mp4,/datadrive2/lqh/testset_data/filtered_masks/4592359, video of a under the sea with dolphins,28.01150894165039
